episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
9,0.6659517,0.010650519,4.0174623,2.8133392e-05,298.23416,298.23413,-16.189487,-20.18285,0.0037375689,-1.6763806e-08,0.06355429,-1.4781952e-05,0.18508911,0.1850586
9,0.6696893,0.0106505025,4.0810165,1.335144e-05,298.41925,298.4192,-20.18285,-20.77723,0.0038476586,-1.5832484e-08,0.050262928,-3.33786e-06,0.26779175,0.26776123
9,0.67353696,0.010650487,4.1312795,1.001358e-05,298.68704,298.68695,-20.77723,-16.853834,0.003121078,-8.381903e-09,0.026661873,0.0,0.26989746,0.26989746
9,0.67665803,0.010650478,4.1579413,1.001358e-05,298.95694,298.95685,-16.853834,-19.170263,0.0035500526,-1.1175871e-08,-0.011302471,-1.9073486e-06,0.15490723,0.15490723
9,0.6802081,0.010650467,4.146639,8.106232e-06,299.11185,299.11176,-19.170263,-14.029806,0.0025981069,-5.5879354e-09,0.027240753,4.7683716e-07,0.19754028,0.19754028
9,0.6828062,0.010650462,4.1738796,8.583069e-06,299.3094,299.3093,-14.029806,-15.615758,0.002891779,-7.450581e-09,-0.029477596,-1.9073486e-06,0.05795288,0.05795288
9,0.685698,0.010650454,4.144402,6.67572e-06,299.36734,299.36725,-15.615758,-23.95089,0.0044353604,-1.6763806e-08,0.015311718,0.0,0.08380127,0.08380127
9,0.69013333,0.010650437,4.1597137,6.67572e-06,299.45114,299.45105,-23.95089,-14.712442,0.0027245283,-8.381903e-09,0.070099354,2.861023e-06,0.29330444,0.29327393
10,0.8036155,0.008459837,4.0458584,4.2915344e-06,298.15,298.15,0.0,-19.708817,0.0036497712,4.749745e-08,9.536743e-06,-4.2915344e-06,0.0,0.0
10,0.8072653,0.008459885,4.045868,0.0,298.15,298.15,-19.708817,-8.001621,0.0014817715,3.7252903e-09,0.1896472,4.1007996e-05,0.2694702,0.26931763
11,0.16887625,0.008826221,3.460361,7.1525574e-06,298.15,298.15,0.0,-12.408815,0.0022979379,2.2351742e-08,9.536743e-06,-7.1525574e-06,0.0,0.0
11,0.17117418,0.008826244,3.4603705,0.0,298.15,298.15,-12.408815,-20.432627,0.003783822,1.21071935e-08,0.13771772,3.0517578e-05,0.12939453,0.12930298
11,0.174958,0.008826256,3.5980883,3.0517578e-05,298.2794,298.2793,-20.432627,-16.155954,0.0029918402,4.656613e-09,0.07304025,-1.2397766e-05,0.29745483,0.29742432
11,0.17794985,0.00882626,3.6711285,1.8119812e-05,298.57684,298.57672,-16.155954,-9.070431,0.0016797036,0.0,-0.010864735,-7.390976e-06,0.17840576,0.17840576
11,0.17962955,0.00882626,3.6602638,1.0728836e-05,298.75525,298.75513,-9.070431,-10.972788,0.0020319968,9.313226e-10,-0.049056053,-5.00679e-06,0.022827148,0.022857666
11,0.18166155,0.008826261,3.6112077,5.722046e-06,298.77808,298.77798,-10.972788,-14.269004,0.002642408,9.313226e-10,0.017190456,-1.4305115e-06,0.052246094,0.052215576
11,0.18430395,0.008826262,3.6283982,4.2915344e-06,298.83032,298.8302,-14.269004,-17.063257,0.0031598657,3.7252903e-09,0.030156374,4.7683716e-07,0.11224365,0.11224365
11,0.18746382,0.008826266,3.6585546,4.7683716e-06,298.94257,298.94244,-17.063257,-9.250779,0.001713112,9.313226e-10,0.027855873,1.66893e-06,0.1661377,0.16616821
11,0.18917693,0.008826267,3.6864104,6.4373016e-06,299.1087,299.1086,-9.250779,-19.304903,0.0035749823,2.7939677e-09,-0.055721045,-1.1920929e-06,-0.011444092,-0.011444092
11,0.19275191,0.00882627,3.6306894,5.2452087e-06,299.09726,299.09717,-19.304903,-24.722523,0.0045782477,6.519258e-09,0.07834077,1.1920929e-06,0.2043457,0.2043457
11,0.19733016,0.008826276,3.7090302,6.4373016e-06,299.3016,299.3015,-24.722523,-17.78544,0.0032935888,3.7252903e-09,0.049184084,3.33786e-06,0.3439026,0.34387207
11,0.20062375,0.00882628,3.7582142,9.775162e-06,299.6455,299.6454,-17.78544,-6.940566,0.0012852997,0.0,-0.03244686,-7.1525574e-07,0.1244812,0.1244812
11,0.20190905,0.00882628,3.7257674,9.059906e-06,299.77,299.76987,-6.940566,-15.54285,0.0028783083,9.313226e-10,-0.09106541,-4.529953e-06,-0.11999512,-0.1199646
11,0.20478736,0.008826281,3.634702,4.529953e-06,299.65,299.6499,-15.54285,-26.131947,0.0048392415,4.656613e-09,0.06722498,4.7683716e-07,0.053527832,0.053527832
11,0.2096266,0.008826286,3.701927,5.00679e-06,299.70352,299.70343,-26.131947,-15.369725,0.002846241,2.7939677e-09,0.08044624,4.053116e-06,0.33883667,0.33880615
11,0.21247284,0.008826288,3.7823732,9.059906e-06,300.04236,300.04224,-15.369725,-16.478098,0.0030515045,2.7939677e-09,-0.058926344,-1.1920929e-06,0.018554688,0.018554688
